2024-07-28 08:35:36,MrJin,14,Blackberry,User
2024-07-28 08:36:09,MrJin,9,Blackberry,User
2024-07-28 08:36:15,MrJin,30,Blackberry,User
2024-07-28 08:36:19,MrJin,17,Blackberry,User
2024-07-28 08:36:24,MrJin,35,Blackberry,User
2024-07-28 08:36:29,MrJin,7,Blackberry,User
2024-07-28 08:36:33,MrJin,22,Blackberry,User
2024-07-28 08:36:39,MrJin,24,Blackberry,User
2024-07-28 08:36:44,MrJin,28,Blackberry,User
2024-07-28 08:37:47,Victor,6,Strawberry,AI
2024-07-28 08:38:00,Victor,25,Strawberry,AI
2024-07-28 08:38:13,Victor,27,Strawberry,User
2024-07-28 08:38:20,Victor,9,Strawberry,User
